PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
10107,2024-04-30,MSFT,389.32999,-0.074610,7432306.0,-0.042724,-0.041615,Materials
10107,2024-05-31,MSFT,415.13,0.068194,7432306.0,0.046553,0.048021,Materials
10107,2024-06-28,MSFT,446.95001,0.076651,7434000.0,0.026073,0.03467,Materials
10107,2024-07-31,MSFT,418.35001,-0.063989,7433038.0,0.019878,0.011321,Materials
10107,2024-08-30,MSFT,417.14001,-0.001100,7433038.0,0.021572,0.022835,Materials
10107,2024-09-30,MSFT,430.29999,0.031548,7434436.0,0.020969,0.020197,Materials
10107,2024-10-31,MSFT,406.35001,-0.055659,7434881.0,-0.008298,-0.009897,Materials
10107,2024-11-29,MSFT,423.45999,0.044149,7434881.0,0.064855,0.057301,Materials
10107,2024-12-31,MSFT,421.5,-0.004629,7434881.0,-0.031582,-0.02499,Materials
13407,2022-06-30,META,161.25,-0.167269,2290000.0,-0.083998,-0.08392,Communication Services
13407,2022-07-29,META,159.10001,-0.013333,2280672.0,0.090351,0.091116,Communication Services
13407,2022-08-31,META,162.92999,0.024073,2280672.0,-0.036233,-0.04244,Communication Services
13407,2022-09-30,META,135.67999,-0.167250,2262000.0,-0.091323,-0.093396,Communication Services
13407,2022-10-31,META,93.16,-0.313384,2248672.0,0.077394,0.079863,Communication Services
13407,2022-11-30,META,118.1,0.267711,2248672.0,0.052354,0.053753,Communication Services
13407,2022-12-30,META,120.34,0.018967,2247000.0,-0.057119,-0.058971,Communication Services
13407,2023-01-31,META,148.97,0.237909,2225763.0,0.071823,0.061753,Communication Services
13407,2023-02-28,META,174.94,0.174330,2225763.0,-0.024666,-0.026112,Communication Services
13407,2023-03-31,META,211.94,0.211501,2215651.0,0.02395,0.035052,Communication Services
13407,2023-04-28,META,240.32001,0.133906,2212153.0,0.008976,0.014642,Communication Services
13407,2023-05-31,META,264.72,0.101531,2212153.0,0.000708,0.002482,Communication Services
13407,2023-06-30,META,286.98001,0.084089,2222000.0,0.066183,0.064728,Communication Services
13407,2023-07-31,META,318.60001,0.110182,2222583.0,0.035618,0.031139,Communication Services
13407,2023-08-31,META,295.89001,-0.071281,2222583.0,-0.020608,-0.017716,Communication Services
13407,2023-09-29,META,300.20999,0.014600,2221000.0,-0.04739,-0.048719,Communication Services
13407,2023-10-31,META,301.26999,0.003531,2219607.0,-0.028865,-0.02198,Communication Services
13407,2023-11-30,META,327.14999,0.085903,2219607.0,0.092053,0.089179,Communication Services
13407,2023-12-29,META,353.95999,0.081950,2211000.0,0.053604,0.044229,Communication Services
13407,2024-01-31,META,390.14001,0.102215,2200049.0,0.007561,0.015896,Communication Services
13407,2024-02-29,META,490.13,0.257574,2200049.0,0.050583,0.051721,Communication Services
13407,2024-03-28,META,485.57999,-0.009283,2192000.0,0.03245,0.031019,Communication Services
13407,2024-04-30,META,430.17001,-0.114111,2191446.0,-0.042724,-0.041615,Communication Services
13407,2024-05-31,META,466.82999,0.085222,2191446.0,0.046553,0.048021,Communication Services
13407,2024-06-28,META,504.22,0.081164,2188000.0,0.026073,0.03467,Communication Services
13407,2024-07-31,META,474.82999,-0.058288,2184729.0,0.019878,0.011321,Communication Services
13407,2024-08-30,META,521.31,0.097888,2184729.0,0.021572,0.022835,Communication Services
13407,2024-09-30,META,572.44,0.099039,2180000.0,0.020969,0.020197,Communication Services
13407,2024-10-31,META,567.58002,-0.008490,2180001.0,-0.008298,-0.009897,Communication Services
13407,2024-11-29,META,574.32001,0.011875,2180001.0,0.064855,0.057301,Communication Services
13407,2024-12-31,META,585.51001,0.020355,2180001.0,-0.031582,-0.02499,Communication Services
14593,2021-05-28,AAPL,124.61,-0.050434,16687631.0,0.007092,0.005487,Industrials
14593,2021-06-30,AAPL,136.96001,0.099109,16556942.0,0.023422,0.022214,Industrials
14593,2021-07-30,AAPL,145.86,0.064982,16530166.0,0.011828,0.022748,Industrials
14593,2021-08-31,AAPL,151.83,0.042438,16530166.0,0.027146,0.02899,Industrials
14593,2021-09-30,AAPL,141.5,-0.068037,16426786.0,-0.042243,-0.047569,Industrials
14593,2021-10-29,AAPL,149.8,0.058657,16406397.0,0.064651,0.069144,Industrials
14593,2021-11-30,AAPL,165.3,0.104940,16406397.0,-0.01835,-0.008334,Industrials
14593,2021-12-31,AAPL,177.57001,0.074229,16344923.0,0.033341,0.043613,Industrials
14593,2022-01-31,AAPL,174.78,-0.015712,16319441.0,-0.059822,-0.052585,Industrials
14593,2022-02-28,AAPL,165.12,-0.054011,16319441.0,-0.021838,-0.031361,Industrials
14593,2022-03-31,AAPL,174.61,0.057473,16207568.0,0.030506,0.035773,Industrials
14593,2022-04-29,AAPL,157.64999,-0.097131,16185181.0,-0.089387,-0.087957,Industrials
14593,2022-05-31,AAPL,148.84,-0.054424,16185181.0,-0.002113,5.3e-05,Industrials
14593,2022-06-30,AAPL,136.72,-0.081430,16095378.0,-0.083998,-0.08392,Industrials
14593,2022-07-29,AAPL,162.50999,0.188634,16070752.0,0.090351,0.091116,Industrials
14593,2022-08-31,AAPL,157.22,-0.031137,16070752.0,-0.036233,-0.04244,Industrials
14593,2022-09-30,AAPL,138.2,-0.120977,15943425.0,-0.091323,-0.093396,Industrials
14593,2022-10-31,AAPL,153.34,0.109551,15908118.0,0.077394,0.079863,Industrials
14593,2022-11-30,AAPL,148.03,-0.033129,15908118.0,0.052354,0.053753,Industrials
14593,2022-12-30,AAPL,129.92999,-0.122273,15842407.0,-0.057119,-0.058971,Industrials
14593,2023-01-31,AAPL,144.28999,0.110521,15821946.0,0.071823,0.061753,Industrials
14593,2023-02-28,AAPL,147.41,0.023217,15821946.0,-0.024666,-0.026112,Industrials
14593,2023-03-31,AAPL,164.89999,0.118649,15723406.0,0.02395,0.035052,Industrials
14593,2023-04-28,AAPL,169.67999,0.028987,15728702.0,0.008976,0.014642,Industrials
14593,2023-05-31,AAPL,177.25,0.046028,15728702.0,0.000708,0.002482,Industrials
14593,2023-06-30,AAPL,193.97,0.094330,15647868.0,0.066183,0.064728,Industrials
14593,2023-07-31,AAPL,196.45,0.012785,15634232.0,0.035618,0.031139,Industrials
