date,rf
2021-05-31,1.0000047144798074e-05
2021-06-30,2.1944672917051378e-05
2021-07-31,3.055600000223535e-05
2021-08-31,3.333386319814835e-05
2021-09-30,2.4444728472960975e-05
2021-10-31,2.8889284879429766e-05
2021-11-30,2.8611499693242948e-05
2021-12-31,3.6667307645066316e-05
2022-01-31,8.305881628345446e-05
2022-02-28,0.00017195840788675198
2022-03-31,0.00028337167042558065
2022-04-30,0.00042397418583028923
2022-05-31,0.0005737677590214041
2022-06-30,0.0008723061556121792
2022-07-31,0.0012410082441596249
2022-08-31,0.001682185034327155
2022-09-30,0.0018254736890237488
2022-10-31,0.0020670262088764435
2022-11-30,0.0023089173191059853
2022-12-31,0.00248348780230212
2023-01-31,0.00252385403248101
2023-02-28,0.0024595275156804597
2023-03-31,0.0030018009722936334
2023-04-30,0.002739391439614103
2023-05-31,0.0031430384933441857
2023-06-30,0.003013203934115971
2023-07-31,0.0029229393891854194
2023-08-31,0.003389370952914472
2023-09-30,0.002959429948501846
2023-10-31,0.003116838898962193
2023-11-30,0.0030786710783674565
2023-12-31,0.0029159756882426446
2024-01-31,0.0030522051542341
2024-02-29,0.0029143044068919988
2024-03-31,0.002914582954042233
2024-04-30,0.0032079569203971037
2024-05-31,0.003214922652722274
2024-06-30,0.002771409476477693
2024-07-31,0.0031823234221590724
2024-08-31,0.0030889893494023823
2024-09-30,0.0026266045605265465
2024-10-31,0.0027600180788383
2024-11-30,0.002334522113444093
2024-12-31,0.0024940683758716276
