PERMNO,date,TICKER,PRC,VOL,RET,sprtrn
10138,2019-07-31,TROW,113.39,238758.0,0.033543,0.013128
10138,2019-08-30,TROW,110.62,220384.0,-0.024429,-0.018092
10138,2019-09-30,TROW,114.25,217412.0,0.039685,0.017181
10138,2019-10-31,TROW,115.8,255642.0,0.013567,0.020432
10138,2019-11-29,TROW,123.56,141418.0,0.067012,0.034047
10138,2019-12-31,TROW,121.84,175622.0,-0.00777,0.02859
10138,2020-01-31,TROW,133.53,247048.0,0.095946,-0.001628
10138,2020-02-28,TROW,118.01,240025.0,-0.116229,-0.08411
10138,2020-03-31,TROW,97.65,632898.0,-0.164901,-0.125119
10138,2020-04-30,TROW,115.63,309566.0,0.184127,0.126844
10138,2020-05-29,TROW,120.9,262058.0,0.045576,0.045282
10138,2020-06-30,TROW,123.5,281410.0,0.02895,0.018388
10138,2020-07-31,TROW,138.10001,243815.0,0.118219,0.055101
10138,2020-08-31,TROW,139.21001,179589.0,0.008038,0.070065
10138,2020-09-30,TROW,128.22,243107.0,-0.07248,-0.039228
10138,2020-10-30,TROW,126.66,255293.0,-0.012167,-0.027666
10138,2020-11-30,TROW,143.41,191131.0,0.132244,0.107546
10138,2020-12-31,TROW,151.39,212649.0,0.06192,0.037121
10138,2021-01-29,TROW,156.48,238006.0,0.033622,-0.011137
10138,2021-02-26,TROW,162.14,207207.0,0.036171,0.026091
10138,2021-03-31,TROW,171.60001,307000.0,0.065006,0.042439
10138,2021-04-30,TROW,179.2,209030.0,0.044289,0.052425
10138,2021-05-28,TROW,191.35001,208530.0,0.067801,0.005487
10138,2021-06-30,TROW,197.97,210528.0,0.055918,0.022214
10138,2021-07-30,TROW,204.16,214721.0,0.031267,0.022748
10138,2021-08-31,TROW,223.87,136961.0,0.096542,0.02899
10138,2021-09-30,TROW,196.7,212581.0,-0.116541,-0.047569
10138,2021-10-29,TROW,216.88,260934.0,0.102593,0.069144
10138,2021-11-30,TROW,199.95,183681.0,-0.078062,-0.008334
10138,2021-12-31,TROW,196.64,230936.0,-0.011153,0.043613
10138,2022-01-31,TROW,154.42999,374826.0,-0.214656,-0.052585
10138,2022-02-28,TROW,144.56,393549.0,-0.063912,-0.031361
10138,2022-03-31,TROW,151.19,380316.0,0.054164,0.035773
10138,2022-04-29,TROW,123.04,325938.0,-0.18619,-0.087957
10138,2022-05-31,TROW,127.09,386381.0,0.032916,5.3e-05
10138,2022-06-30,TROW,113.61,376969.0,-0.096624,-0.08392
10138,2022-07-29,TROW,123.47,308361.0,0.086788,0.091116
10138,2022-08-31,TROW,120.0,281480.0,-0.028104,-0.04244
10138,2022-09-30,TROW,105.01,409619.0,-0.114917,-0.093396
10138,2022-10-31,TROW,106.16,380686.0,0.010951,0.079863
10138,2022-11-30,TROW,124.91,435761.0,0.17662,0.053753
10138,2022-12-30,TROW,109.06,384723.0,-0.117284,-0.058971
10138,2023-01-31,TROW,116.47,328657.0,0.067944,0.061753
10138,2023-02-28,TROW,112.28,305806.0,-0.035975,-0.026112
10138,2023-03-31,TROW,112.9,482115.0,0.016388,0.035052
10138,2023-04-28,TROW,112.33,206748.0,-0.005049,0.014642
10138,2023-05-31,TROW,107.16,294563.0,-0.046025,0.002482
10138,2023-06-30,TROW,112.02,295102.0,0.056738,0.064728
10138,2023-07-31,TROW,123.26,298137.0,0.100339,0.031139
10138,2023-08-31,TROW,112.23,295305.0,-0.089486,-0.017716
10138,2023-09-29,TROW,104.87,248354.0,-0.054709,-0.048719
10138,2023-10-31,TROW,90.5,366514.0,-0.137027,-0.02198
10138,2023-11-30,TROW,100.13,279271.0,0.106409,0.089179
10138,2023-12-29,TROW,107.69,324424.0,0.087686,0.044229
