ticker,end_date
DWD,1997-06-02
DWDP,2019-06-03
DXC,2015-12-01
DXC,2023-10-02
DXCM,
DYN,2009-12-21
EA,
EBAY,
EC,2006-06-06
ECH,1998-07-10
ECL,
ECO,1998-01-20
ED,
EDS,2008-08-26
EFU,2000-11-02
EFX,
EG,
EHC,2003-03-21
EIX,
EKDKQ,2010-12-20
EL,
ELV,
EMC,2016-09-07
EMN,
EMR,
ENDP,2017-03-02
ENPH,
ENRNQ,2001-11-30
ENS,1997-08-06
EOG,
EOP,2007-02-12
EP,2012-05-25
EPAM,
EQ,2009-07-01
EQIX,
EQR,
EQT,2018-11-13
EQT,
ERIE,
ES,
ESRX,2018-12-21
ESS,
ESV,2009-12-23
ESV,2016-03-30
ETFC,2020-10-07
ETN,
ETR,
ETS,2001-08-06
ETSY,2024-09-23
EVHC,2018-10-11
EVRG,
EW,
EXC,
EXE,
EXPD,
EXPE,
EXR,
F,
FANG,
FAST,
FB,2022-06-09
FBF,2004-04-01
FBHS,2022-12-19
FBO,1996-03-13
FCN,1998-10-02
FCPT,2015-11-17
FCX,
FDC,2007-09-25
FDO,2015-07-07
FDS,
FDX,
FE,
FFIV,
FG,1998-04-27
FHN,2013-06-24
FI,
FICO,
FII,2013-01-02
FIS,
FISV,2023-06-07
FITB,
FJ,2000-11-24
FL,1999-01-04
FL,2019-08-09
FLIR,2021-05-14
FLMIQ,1997-12-24
FLR,2019-06-03
FLS,2021-03-22
FLT,2024-03-25
FLTWQ,2000-01-31
FMC,2002-01-02
FMC,2025-04-24
FMCC,2008-09-11
FMY,1999-05-28
FNMA,2008-09-11
FOSL,2016-01-05
FOX,
FOXA,
FPC,2000-12-01
FRC,2023-05-04
FRO,1999-09-29
FRT,
FRX,2014-07-01
FSH,2006-11-10
FSL,2006-12-04
FSLR,2017-03-20
FSLR,
FTI,2021-02-12
FTL.A,1999-10-01
FTNT,
FTR,2017-03-20
FTV,
FWLT,2000-01-31
G,2005-10-03
GAPTQ,2000-08-30
GAS,2011-12-12
GAS,2016-07-01
GD,
GDDY,
GDT,2006-04-24
GDW,2006-10-02
GE,
GEHC,
GEN,
GENZ,2011-04-04
GEV,
GFS.A,1998-07-16
GGP,2008-11-13
GGP,2018-08-28
GHC,2014-09-22
GIDL,1997-07-17
GILD,
GIS,
GL,
GLD,1997-05-06
GLK,2005-07-05
GLW,
GM,
GMCR,2016-03-03
GME,2016-04-25
GNRC,
GNT,1998-07-01
GNW,2015-11-18
GOOG,
GOOGL,
GP,2005-12-20
GPC,
GPN,
GPS,2022-02-02
GPU,2001-11-07
GR,2012-07-27
GRA,2000-12-11
GRMN,
GRN,1998-12-22
GS,
GSX,1998-10-07
GT,2019-02-27
GTE,2000-07-03
GTW,2006-08-01
GWF,1997-07-02
GWW,
GX,2001-10-10
H,2001-06-29
H,2007-04-10
HAL,
HAR,2017-03-13
HAS,
HBAN,
HBI,2021-12-20
HBOC,1999-01-13
HCA,2006-11-20
HCA,
HCBK,2015-11-02
HCP,2019-11-05
HCR,2007-11-09
HD,
HDLM,1996-03-08
HES,
HET,2008-01-29
HFC,2021-06-04
HFS,1997-12-18
HI,2003-03-31
HIG,
HII,
HLT,2007-10-25
HLT,
HM,2001-12-17
HMA,2007-03-02
HNZ,2013-06-07
HOG,2020-06-22
HOLX,
HON,
HOT,2016-09-23
HP,1999-12-31
HP,2020-05-22
HPC,2008-11-14
HPE,
HPH,1999-06-09
HPQ,
HRB,2020-09-21
HRL,
HRS,1999-11-08
HRS,2019-06-01
HSH,2012-06-29
HSIC,
HSP,2015-09-03
HST,
HSY,
HUBB,
HUM,
