PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET,SHROUT,vwretd
10104,2017-09-29,ORCL,ORACLE CORP,68389X10,48.35,4059255.0,-0.03934,4173486.0,0.023729
10104,2017-10-31,ORCL,ORACLE CORP,68389X10,50.9,3140594.0,0.05667,4173486.0,0.019275
10104,2017-11-30,ORCL,ORACLE CORP,68389X10,49.06,2460600.0,-0.036149,4173486.0,0.027231
10104,2017-12-29,ORCL,ORACLE CORP,68389X10,47.28,3645284.0,-0.036282,4139602.0,0.012122
10104,2018-01-31,ORCL,ORACLE CORP,68389X10,51.59,3485999.0,0.095178,4139602.0,0.050577
10104,2018-02-28,ORCL,ORACLE CORP,68389X10,50.67,2906844.0,-0.017833,4139602.0,-0.039455
10104,2018-03-29,ORCL,ORACLE CORP,68389X10,45.75,4354231.0,-0.097099,4082313.0,-0.018421
10104,2018-04-30,ORCL,ORACLE CORP,68389X10,45.67,2888885.0,0.002404,4082313.0,0.004679
10104,2018-05-31,ORCL,ORACLE CORP,68389X10,46.72,2535493.0,0.022991,4082313.0,0.026146
10104,2018-06-29,ORCL,ORACLE CORP,68389X10,44.06,4697897.0,-0.056935,3981155.0,0.005359
10104,2018-07-31,ORCL,ORACLE CORP,68389X10,47.68,4242729.0,0.086473,3981155.0,0.031573
10104,2018-08-31,ORCL,ORACLE CORP,68389X10,48.58,3105354.0,0.018876,3981155.0,0.030233
10104,2018-09-28,ORCL,ORACLE CORP,68389X10,51.56,4234516.0,0.061342,3787960.0,0.000425
10104,2018-10-31,ORCL,ORACLE CORP,68389X10,48.84,4443546.0,-0.049069,3787960.0,-0.074045
10104,2018-11-30,ORCL,ORACLE CORP,68389X10,48.76,3715527.0,-0.001638,3787960.0,0.018512
10104,2018-12-31,ORCL,ORACLE CORP,68389X10,45.15,5390642.0,-0.074036,3588919.0,-0.08989
10104,2019-01-31,ORCL,ORACLE CORP,68389X10,50.23,3248083.0,0.116722,3588919.0,0.088294
10104,2019-02-28,ORCL,ORACLE CORP,68389X10,52.13,2578429.0,0.037826,3588919.0,0.032724
10104,2019-03-29,ORCL,ORACLE CORP,68389X10,53.71,3706972.0,0.030309,3417654.0,0.012962
10104,2019-04-30,ORCL,ORACLE CORP,68389X10,55.33,1935070.0,0.03463,3417654.0,0.037893
10104,2019-05-31,ORCL,ORACLE CORP,68389X10,50.6,2400930.0,-0.085487,3417654.0,-0.061679
10104,2019-06-28,ORCL,ORACLE CORP,68389X10,56.97,4172203.0,0.125889,3335819.0,0.067279
10104,2019-07-31,ORCL,ORACLE CORP,68389X10,56.3,2514810.0,-0.007548,3335819.0,0.011854
10104,2019-08-30,ORCL,ORACLE CORP,68389X10,52.06,2259730.0,-0.075311,3335819.0,-0.020339
10104,2019-09-30,ORCL,ORACLE CORP,68389X10,55.03,3367994.0,0.05705,3282517.0,0.016033
10104,2019-10-31,ORCL,ORACLE CORP,68389X10,54.49,2528444.0,-0.005452,3282517.0,0.019257
10104,2019-11-29,ORCL,ORACLE CORP,68389X10,56.14,1572243.0,0.030281,3282517.0,0.034999
10104,2019-12-31,ORCL,ORACLE CORP,68389X10,52.98,2657013.0,-0.056288,3207649.0,0.028489
10104,2020-01-31,ORCL,ORACLE CORP,68389X10,52.45,2005627.0,-0.005474,3207649.0,-0.001728
10104,2020-02-28,ORCL,ORACLE CORP,68389X10,49.46,1935500.0,-0.057007,3207649.0,-0.077918
10104,2020-03-31,ORCL,ORACLE CORP,68389X10,48.33,5000331.0,-0.022847,3153584.0,-0.141733
10104,2020-04-30,ORCL,ORACLE CORP,68389X10,52.97,2615529.0,0.100972,3153584.0,0.129674
10104,2020-05-29,ORCL,ORACLE CORP,68389X10,53.77,2138695.0,0.015103,3153584.0,0.053739
10104,2020-06-30,ORCL,ORACLE CORP,68389X10,55.27,3366788.0,0.027897,3068682.0,0.025299
10104,2020-07-31,ORCL,ORACLE CORP,68389X10,55.45,2742218.0,0.007599,3068682.0,0.055531
10104,2020-08-31,ORCL,ORACLE CORP,68389X10,57.22,2179598.0,0.031921,3068682.0,0.068442
10104,2020-09-30,ORCL,ORACLE CORP,68389X10,59.7,4267449.0,0.043341,3010888.0,-0.035056
10104,2020-10-30,ORCL,ORACLE CORP,68389X10,56.11,2098049.0,-0.056114,3010888.0,-0.020178
10104,2020-11-30,ORCL,ORACLE CORP,68389X10,57.72,1870671.0,0.028694,3010888.0,0.123707
10104,2020-12-31,ORCL,ORACLE CORP,68389X10,64.69,2910949.0,0.120755,2944034.0,0.045048
10104,2021-01-29,ORCL,ORACLE CORP,68389X10,60.43,1731055.0,-0.062143,2944034.0,-0.000631
10104,2021-02-26,ORCL,ORACLE CORP,68389X10,64.51,2030198.0,0.067516,2944034.0,0.029196
10104,2021-03-31,ORCL,ORACLE CORP,68389X10,70.17,3854119.0,0.087738,2883535.0,0.030573
10104,2021-04-30,ORCL,ORACLE CORP,68389X10,75.79,2747488.0,0.084652,2883535.0,0.04819
10104,2021-05-28,ORCL,ORACLE CORP,68389X10,78.74,2198755.0,0.038923,2883535.0,0.007092
10104,2021-06-30,ORCL,ORACLE CORP,68389X10,77.84,2767391.0,-0.01143,2792000.0,0.023422
10104,2021-07-30,ORCL,ORACLE CORP,68389X10,87.14,2780749.0,0.123587,2792000.0,0.011828
10104,2021-08-31,ORCL,ORACLE CORP,68389X10,89.13,1548850.0,0.022837,2792000.0,0.027146
10104,2021-09-30,ORCL,ORACLE CORP,68389X10,87.13,2993188.0,-0.022439,2733686.0,-0.042243
10104,2021-10-29,ORCL,ORACLE CORP,68389X10,95.94,1777275.0,0.104786,2733686.0,0.064651
10104,2021-11-30,ORCL,ORACLE CORP,68389X10,90.74,1560291.0,-0.054201,2733686.0,-0.01835
10104,2021-12-31,ORCL,ORACLE CORP,68389X10,87.21,2710437.0,-0.038902,2670447.0,0.033341
10104,2022-01-31,ORCL,ORACLE CORP,68389X10,81.16,2005905.0,-0.065703,2670447.0,-0.059822
10104,2022-02-28,ORCL,ORACLE CORP,68389X10,75.97,1447025.0,-0.063948,2670447.0,-0.021838
10104,2022-03-31,ORCL,ORACLE CORP,68389X10,82.73,2439407.0,0.088983,2668157.0,0.030506
10104,2022-04-29,ORCL,ORACLE CORP,68389X10,73.4,1312745.0,-0.108909,2668157.0,-0.089387
10104,2022-05-31,ORCL,ORACLE CORP,68389X10,71.92,1624399.0,-0.020164,2668157.0,-0.002113
10104,2022-06-30,ORCL,ORACLE CORP,68389X10,69.87,2198139.0,-0.028504,2664926.0,-0.083998
10104,2022-07-29,ORCL,ORACLE CORP,68389X10,77.84,1262558.0,0.118649,2664926.0,0.090351
10104,2022-08-31,ORCL,ORACLE CORP,68389X10,74.15,1171619.0,-0.047405,2664926.0,-0.036233
10104,2022-09-30,ORCL,ORACLE CORP,68389X10,61.07,2329482.0,-0.176399,2695653.0,-0.091323
10104,2022-10-31,ORCL,ORACLE CORP,68389X10,78.07,2001682.0,0.283609,2695653.0,0.077394
10104,2022-11-30,ORCL,ORACLE CORP,68389X10,83.03,1433141.0,0.063533,2696166.0,0.052354
10104,2022-12-30,ORCL,ORACLE CORP,68389X10,81.74,1724644.0,-0.015537,2696253.0,-0.057119
10104,2023-01-31,ORCL,ORACLE CORP,68389X10,88.46,1357037.0,0.086127,2696253.0,0.071823
10104,2023-02-28,ORCL,ORACLE CORP,68389X10,87.4,1226399.0,-0.011983,2696253.0,-0.024666
10104,2023-03-31,ORCL,ORACLE CORP,68389X10,92.92,1897840.0,0.063158,2699802.0,0.02395
10104,2023-04-28,ORCL,ORACLE CORP,68389X10,94.72,1304209.0,0.023676,2699802.0,0.008976
10104,2023-05-31,ORCL,ORACLE CORP,68389X10,105.94,1758608.0,0.118454,2699802.0,0.000708
10104,2023-06-30,ORCL,ORACLE CORP,68389X10,119.09,3293938.0,0.124127,2714259.0,0.066183
10104,2023-07-31,ORCL,ORACLE CORP,68389X10,117.23,1563054.0,-0.01226,2714259.0,0.035618
10104,2023-08-31,ORCL,ORACLE CORP,68389X10,120.39,1697263.0,0.026956,2714259.0,-0.020608
10104,2023-09-29,ORCL,ORACLE CORP,68389X10,105.92,3085564.0,-0.120193,2739376.0,-0.04739
10104,2023-10-31,ORCL,ORACLE CORP,68389X10,103.4,1646712.0,-0.020015,2739376.0,-0.028865
10104,2023-11-30,ORCL,ORACLE CORP,68389X10,116.21,1359967.0,0.123888,2739376.0,0.092053
10104,2023-12-29,ORCL,ORACLE CORP,68389X10,105.43,2699311.0,-0.092763,2748922.0,0.053604
10104,2024-01-31,ORCL,ORACLE CORP,68389X10,111.7,1711372.0,0.063265,2748922.0,0.007561
10104,2024-02-29,ORCL,ORACLE CORP,68389X10,111.68,1477011.0,-0.000179,2748922.0,0.050583
10104,2024-03-28,ORCL,ORACLE CORP,68389X10,125.61,2433215.0,0.124731,2748514.0,0.03245
10104,2024-04-30,ORCL,ORACLE CORP,68389X10,113.75,1359909.0,-0.091235,2748514.0,-0.042724
10104,2024-05-31,ORCL,ORACLE CORP,68389X10,117.19,1452283.0,0.030242,2748514.0,0.046553
10104,2024-06-28,ORCL,ORACLE CORP,68389X10,141.2,2383552.0,0.204881,2755860.0,0.026073
10104,2024-07-31,ORCL,ORACLE CORP,68389X10,139.45,1511031.0,-0.009561,2755860.0,0.019878
10104,2024-08-30,ORCL,ORACLE CORP,68389X10,141.28999,1199638.0,0.013195,2755860.0,0.021572
10104,2024-09-30,ORCL,ORACLE CORP,68389X10,170.39999,2672865.0,0.20603,2771063.0,0.020969
10104,2024-10-31,ORCL,ORACLE CORP,68389X10,167.84,1343858.0,-0.012676,2771063.0,-0.008298
10104,2024-11-29,ORCL,ORACLE CORP,68389X10,184.84,1505009.0,0.101287,2771063.0,0.064855
10104,2024-12-31,ORCL,ORACLE CORP,68389X10,166.64,1964458.0,-0.098464,2796956.0,-0.031582
10107,2015-01-30,MSFT,MICROSOFT CORP,59491810,40.4,9190983.0,-0.130248,8203785.0,-0.027163
